Date;Adj Close;Close;High;Low;Open;Volume;;;;
12.12.1980;0.09883447;0.128347993;0.128905997;0.128347993;0.128347993;469033600;;;; 
15.12.1980;0.093678214;0.121652;0.122210003;0.121652;0.122210003;175884800;; ;;
16.12.1980;0.086802408;0.112723;0.113280997;0.112723;0.113280997;105728000;;;;
17.12.1980;0.088950872;0.115512997;0.116071001;0.115512997;0.115512997;86441600;;;;
18.12.1980;0.091529764;0.118862003;0.119419999;0.118862003;0.118862003;73449600;;;;
19.12.1980;0.097115695;0.126115993;0.126673996;0.126115993;0.126115993;48630400;;;;
22.12.1980;0.101842329;0.132254004;0.132813007;0.132254004;0.132254004;37363200;;;;
23.12.1980;0.10613998;0.137834996;0.138393;0.137834996;0.137834996;46950400;;;;
24.12.1980;0.111725859;0.145089;0.145647004;0.145089;0.145089;48003200;;;;
26.12.1980;0.122039191;0.158482;0.159040004;0.158482;0.158482;55574400;;;;
29.12.1980;0.123757936;0.160714;0.161272004;0.160714;0.160714;93161600;;;;
30.12.1980;0.120750137;0.156808004;0.157365993;0.156808004;0.157365993;68880000;;;;
31.12.1980;0.117312618;0.152344003;0.152902007;0.152344003;0.152902007;35750400;;;;
2.01.1981;0.118601672;0.154018;0.155134007;0.154018;0.154018;21660800;;;;
5.01.1981;0.11602354;0.150670007;0.151227996;0.150670007;0.151227996;35728000;;;;
6.01.1981;0.110866457;0.143972993;0.144530997;0.143972993;0.144530997;45158400;;;;
7.01.1981;0.10613998;0.137834996;0.138393;0.137834996;0.138393;55686400;;;;
8.01.1981;0.103991516;0.135045007;0.135602996;0.135045007;0.135602996;39827200;;;;
9.01.1981;0.109577484;0.142298996;0.142857;0.142298996;0.142298996;21504000;;;;
12.01.1981;0.108718075;0.141183004;0.142298996;0.141183004;0.142298996;23699200;;;;
13.01.1981;0.104850866;0.136161;0.136719003;0.136161;0.136719003;23049600;;;;
14.01.1981;0.105280563;0.136719003;0.137277007;0.136719003;0.136719003;14291200;;;;
15.01.1981;0.107429035;0.139509007;0.140625;0.139509007;0.139509007;14067200;;;;
16.01.1981;0.10656964;0.138393;0.138951004;0.138393;0.138951004;13395200;;;;
19.01.1981;0.113014929;0.146762997;0.147321001;0.146762997;0.146762997;41574400;;;;
20.01.1981;0.109577484;0.142298996;0.142857;0.142298996;0.142857;30083200;;;;
21.01.1981;0.111725859;0.145089;0.146204993;0.145089;0.145089;15904000;;;;
22.01.1981;0.113014929;0.146762997;0.147879004;0.146762997;0.146762997;35548800;;;;
23.01.1981;0.112585276;0.146204993;0.147321001;0.146204993;0.146762997;11222400;;;;
26.01.1981;0.110866457;0.143972993;0.144530997;0.143972993;0.144530997;24640000;;;;
27.01.1981;0.110007107;0.142857;0.143972993;0.142857;0.143972993;23699200;;;;
28.01.1981;0.10656964;0.138393;0.138951004;0.138393;0.138951004;28156800;;;;
29.01.1981;0.102702424;0.133370996;0.133928999;0.133370996;0.133928999;43904000;;;;
30.01.1981;0.097115695;0.126115993;0.127232;0.126115993;0.127232;46188800;;;;
2.02.1981;0.091529764;0.118862003;0.119419999;0.118862003;0.119419999;23766400;;;;
3.02.1981;0.094967306;0.123326004;0.123884;0.123326004;0.123326004;19152000;;;;
4.02.1981;0.098404787;0.127790004;0.128347993;0.127790004;0.127790004;27865600;;;;
5.02.1981;0.098404787;0.127790004;0.128905997;0.127790004;0.127790004;7929600;;;;
6.02.1981;0.09883447;0.128347993;0.128905997;0.128347993;0.128347993;13865600;;;;
9.02.1981;0.093678214;0.121652;0.122768;0.121652;0.122768;16755200;;;;
10.02.1981;0.093678214;0.121652;0.122210003;0.121652;0.121652;18345600;;;;
11.02.1981;0.090670392;0.117746003;0.118303999;0.117746003;0.118303999;13843200;;;;
12.02.1981;0.08981023;0.116628997;0.117187999;0.116628997;0.117187999;14560000;;;;
13.02.1981;0.08766181;0.113839;0.114955001;0.113839;0.114955001;11155200;;;;
17.02.1981;0.08981023;0.116628997;0.117187999;0.116628997;0.116628997;12275200;;;;
18.02.1981;0.093678214;0.121652;0.122768;0.121652;0.121652;19241600;;;;
19.02.1981;0.088091508;0.114396997;0.114955001;0.114396997;0.114955001;22310400;;;;
20.02.1981;0.083364911;0.108259;0.108817004;0.108259;0.108817004;24371200;;;;
23.02.1981;0.084653996;0.109932996;0.110491;0.109932996;0.109932996;14112000;;;;
24.02.1981;0.081646182;0.106027;0.107143;0.106027;0.107143;16979200;;;;
25.02.1981;0.086802408;0.112723;0.113280997;0.112723;0.112723;19488000;;;;
26.02.1981;0.088091508;0.114396997;0.114955001;0.114396997;0.114396997;10841600;;;;
27.02.1981;0.091100067;0.118303999;0.119419999;0.118303999;0.118303999;14761600;;;;
2.03.1981;0.091529764;0.118862003;0.119419999;0.118862003;0.118862003;11760000;;;;
3.03.1981;0.09024068;0.117187999;0.117746003;0.117187999;0.117746003;16172800;;;;
4.03.1981;0.089380607;0.116071001;0.116628997;0.116071001;0.116628997;13708800;;;;
5.03.1981;0.088950872;0.115512997;0.116071001;0.115512997;0.116071001;5376000;;;;
6.03.1981;0.088091508;0.114396997;0.115512997;0.114396997;0.115512997;11603200;;;;
9.03.1981;0.081216462;0.105469003;0.106027;0.105469003;0.106027;15321600;;;;
10.03.1981;0.0773485;0.100446001;0.101003997;0.100446001;0.101003997;28380800;;;;
11.03.1981;0.074340694;0.096539997;0.097655997;0.096539997;0.097655997;29859200;;;;
12.03.1981;0.0773485;0.100446001;0.101003997;0.100446001;0.100446001;59248000;;;;
13.03.1981;0.076489128;0.099330001;0.099887997;0.099330001;0.099887997;231302400;;;;
16.03.1981;0.07949771;0.103237003;0.104353003;0.103237003;0.103237003;37228800;;;;
17.03.1981;0.083364911;0.108259;0.109375;0.108259;0.108259;43747200;;;;
18.03.1981;0.08852119;0.114955001;0.116071001;0.114955001;0.114955001;36937600;;;;
19.03.1981;0.08766181;0.113839;0.114396997;0.113839;0.114396997;37811200;;;;
20.03.1981;0.08852119;0.114955001;0.116071001;0.114955001;0.114955001;14604800;;;;
23.03.1981;0.091959454;0.119419999;0.120536;0.119419999;0.119419999;22019200;;;;
24.03.1981;0.091529764;0.118862003;0.119419999;0.118862003;0.119419999;28156800;;;;
25.03.1981;0.08981023;0.116628997;0.117746003;0.116628997;0.117746003;7056000;;;;
26.03.1981;0.088091508;0.114396997;0.114955001;0.114396997;0.114955001;12275200;;;;
27.03.1981;0.085083708;0.110491;0.111048996;0.110491;0.111048996;12252800;;;;
30.03.1981;0.085083708;0.110491;0.111607;0.110491;0.110491;9900800;;;;
31.03.1981;0.084224284;0.109375;0.110491;0.109375;0.110491;15993600;;;;
1.04.1981;0.083364911;0.108259;0.108817004;0.108259;0.108817004;34070400;;;;
2.04.1981;0.090670392;0.117746003;0.118303999;0.117746003;0.117746003;31404800;;;;
3.04.1981;0.091100067;0.118303999;0.118862003;0.118303999;0.118303999;16486400;;;;
6.04.1981;0.089380607;0.116071001;0.116628997;0.116071001;0.116628997;22803200;;;;
7.04.1981;0.08852119;0.114955001;0.115512997;0.114955001;0.115512997;10684800;;;;
8.04.1981;0.092818819;0.120536;0.121652;0.120536;0.120536;21952000;;;;
9.04.1981;0.094537601;0.122768;0.123326004;0.122768;0.122768;12499200;;;;
10.04.1981;0.095826671;0.124442004;0.125;0.124442004;0.124442004;33465600;;;;
13.04.1981;0.095826671;0.124442004;0.125;0.124442004;0.124442004;16060800;;;;
